19:38; -> Temperatura -> Amostra : 1,24.30
19:38; -> Temperatura -> Amostra : 2,24.20
19:38; -> Temperatura -> Amostra : 3,24.20
19:38; -> Temperatura -> Amostra : 4,24.20
19:38; -> Temperatura -> Amostra : 5,24.20
19:38; -> Temperatura -> Amostra : 6,24.30
19:38; -> Temperatura -> Amostra : 7,24.30
19:38; -> Temperatura -> Amostra : 8,24.20
19:38; -> Temperatura -> Amostra : 9,24.20
19:38; -> Temperatura -> Amostra : 10,24.20
19:38; -> Temperatura -> Amostra : 11,24.20
19:38; -> Temperatura -> Amostra : 12,24.20
19:38; -> Temperatura -> Amostra : 13,24.20
19:38; -> Temperatura -> Amostra : 14,24.20
19:38; -> Temperatura -> Amostra : 15,24.20
19:38; -> Temperatura -> Amostra : 16,24.30
19:38; -> Temperatura -> Amostra : 17,24.30
19:38; -> Temperatura -> Amostra : 18,24.20
19:38; -> Temperatura -> Amostra : 19,24.20
19:38; -> Temperatura -> Amostra : 20,24.20
19:38; -> Temperatura -> Amostra : 21,24.20
19:38; -> Temperatura -> Amostra : 22,24.20
19:38; -> Temperatura -> Amostra : 23,24.20
19:38; -> Temperatura -> Amostra : 24,24.20
19:38; -> Temperatura -> Amostra : 25,24.20
19:38; -> Temperatura -> Amostra : 26,24.20
19:38; -> Temperatura -> Amostra : 27,24.20
19:38; -> Temperatura -> Amostra : 28,24.20
19:38; -> Temperatura -> Amostra : 29,24.20
19:38; -> Temperatura -> Amostra : 30,24.20
19:38; -> Temperatura -> Amostra : 31,24.20
19:38; -> Temperatura -> Amostra : 32,24.20
19:38; -> Temperatura -> Amostra : 33,24.20
19:38; -> Temperatura -> Amostra : 34,24.20
19:38; -> Temperatura -> Amostra : 35,24.20
19:38; -> Temperatura -> Amostra : 36,24.20
19:38; -> Temperatura -> Amostra : 37,24.20
19:38; -> Temperatura -> Amostra : 38,24.20
19:38; -> Temperatura -> Amostra : 39,24.20
19:38; -> Temperatura -> Amostra : 40,24.20
19:38; -> Temperatura -> Amostra : 41,24.20
19:38; -> Temperatura -> Amostra : 42,24.20
19:38; -> Temperatura -> Amostra : 43,24.20
19:38; -> Temperatura -> Amostra : 44,24.10
19:38; -> Temperatura -> Amostra : 45,24.10
19:38; -> Temperatura -> Amostra : 46,24.20
19:38; -> Temperatura -> Amostra : 47,24.20
19:38; -> Temperatura -> Amostra : 48,24.30
19:38; -> Temperatura -> Amostra : 49,24.30
19:38; -> Temperatura -> Amostra : 50,24.30
19:38; -> Temperatura -> Amostra : 51,24.30
19:38; -> Temperatura -> Amostra : 52,24.40
19:38; -> Temperatura -> Amostra : 53,24.40
19:38; -> Temperatura -> Amostra : 54,24.50
19:38; -> Temperatura -> Amostra : 55,24.50
19:38; -> Temperatura -> Amostra : 56,24.60
19:38; -> Temperatura -> Amostra : 57,24.60
19:38; -> Temperatura -> Amostra : 58,24.60
19:38; -> Temperatura -> Amostra : 59,24.60
19:38; -> Temperatura -> Amostra : 60,24.70
19:38; -> Temperatura -> Amostra : 61,24.70
19:38; -> Temperatura -> Amostra : 62,24.80
19:38; -> Temperatura -> Amostra : 63,24.80
19:38; -> Temperatura -> Amostra : 64,24.80
19:38; -> Temperatura -> Amostra : 65,24.80
19:38; -> Temperatura -> Amostra : 66,24.90
19:38; -> Temperatura -> Amostra : 67,24.90
19:38; -> Temperatura -> Amostra : 68,24.90
19:38; -> Temperatura -> Amostra : 69,24.90
19:38; -> Temperatura -> Amostra : 70,25.00
19:38; -> Temperatura -> Amostra : 71,25.00
19:38; -> Temperatura -> Amostra : 72,25.00
19:38; -> Temperatura -> Amostra : 73,25.00
19:38; -> Temperatura -> Amostra : 74,25.10
19:38; -> Temperatura -> Amostra : 75,25.10
19:38; -> Temperatura -> Amostra : 76,25.10
19:38; -> Temperatura -> Amostra : 77,25.10
19:38; -> Temperatura -> Amostra : 78,25.10
19:38; -> Temperatura -> Amostra : 79,25.10
19:38; -> Temperatura -> Amostra : 80,25.10
19:38; -> Temperatura -> Amostra : 81,25.10
19:38; -> Temperatura -> Amostra : 82,25.20
